ID	block	new_block	x_t	b_t	delta_t	a_t	e_t	mu_t	c_t	tac	r_t	kappa_t	v_t	RT	initRT	confidence	confidenceRT
99029	2	0	7	336.037511025422	30.9624889745782	-1.3156866615675	3.96248897457816	340	0	15	0	16	0	2.51417460013181	0.3975965003483	75	2.65270650014281
99029	2	0	347	349.724641835122	-2.7246418351219	13.6871308097	-9.72464183512187	340	0	16	1	16	0	152.201554700267	0.986983200069517	25	2.43534190021455
99029	2	0	320	348.151733761586	-28.1517337615855	-1.57290807353636	-8.15173376158551	340	0	17	0	16	0	1.67910079983994	0.480619499925524	68	1.71966850012541
99029	2	0	339	341.433939782331	-2.43393978233079	-6.71779397925476	-1.43393978233075	340	0	18	1	16	0	1.74433720018715	0.511091900058091	66	2.38583029992878
99029	2	0	310	339.095920916667	-29.0959209166673	-2.33801886566349	-40.0959209166673	299	1	0	0	16	0	1.51406699977815	0.299363600090146	75	2.10188400000334
99029	2	0	279	339.409272109403	-60.4092721094027	0.31335119273538	-40.4092721094026	299	0	1	0	16	0	3.8938547000289	1.27830280037597	71	1.53517030039802
99029	2	0	298	278.182522997821	19.8174770021786	-61.2267491115813	20.8174770021787	299	0	2	0	16	0	1.70558550022542	0.23885660013184	38	2.56871959986165
99029	2	0	277	284.125489158231	-7.12548915823144	5.94296616041009	14.8745108417686	299	0	3	1	16	0	2.59827029984444	0.297418300062418	62	2.43636039970443
99029	2	0	298	280.642870744704	17.3571292552964	-3.48261841352784	18.3571292552964	299	0	4	1	16	0	1.40395309962332	0.304043699987233	66	2.60229189973325
99029	2	0	275	282.736400204798	-7.73640020479789	2.09352946009426	16.2635997952021	299	0	5	0	16	0	1.71541769988835	0.332057500258088	63	3.06946780020371
99029	2	0	311	282.786701449187	28.2132985508132	0.0503012443888747	16.2132985508133	299	0	6	0	16	0	1.58822220005095	0.338909199927002	72	3.00216870009899
99029	2	0	317	286.735995851476	30.264004148524	3.9492944022893	12.264004148524	299	0	7	1	16	0	4.33961720019579	0.287434400059283	64	2.65294389985502
99029	2	0	304	290.758324271546	13.2416757284536	4.02232842007036	8.24167572845361	299	0	8	1	16	0	2.45976909995079	0.12616360001266	72	2.4853122998029
99029	2	0	302	294.484475126923	7.51552487307651	3.72615085537707	4.51552487307655	299	0	9	1	16	0	4.37679830007255	0.408861800096929	69	2.41912039974704
99029	2	0	308	294.537728476578	13.4622715234222	0.0532533496543133	4.46227152342223	299	0	10	1	16	0	1.75041350023821	0.501266499981284	68	1.85264590010047
99029	2	0	304	298.354961785324	5.64503821467597	3.81723330874626	0.645038214675976	299	0	11	1	16	0	1.48838829994202	0.121724599972367	66	1.66826009983197
99029	2	0	56	301.729356123596	114.270643876404	3.37439433827226	134.270643876404	76	1	0	0	16	0	2.18760020006448	0.371117800008506	75	1.70194140030071
99029	2	0	83	75.8745108417685	7.12548915823147	134.145154718172	0.125489158231469	76	0	1	1	16	1	2.3382011000067	0.05359400017187	78	2.55230370024219
99029	2	0	100	75.9637565320735	24.0362434679265	0.0892456903050062	0.0362434679264628	76	0	2	0	16	0	1.24980779970065	0.116577399894595	78	2.06885159993544
99029	3	1	250	290.489922018111	-40.4899220181106	NaN	-21.4899220181106	269	1	0	0	8	0	3.84783140011132	2.71565280016512	0	NaN
99029	3	0	286	250.7960264945	35.2039735055001	-39.6938955236107	18.2039735055001	269	0	1	0	8	0	6.018826500047	1.60027489997447	0	NaN
99029	3	0	255	266.403282922372	-11.4032829223715	15.6072564278716	2.59671707762845	269	0	2	1	8	0	1.42169569991529	0.373423599638045	0	NaN
99029	3	0	267	266.682218831665	0.317781168334785	0.278935909293633	2.31778116833481	269	0	3	1	8	0	1.89964859979227	0.0495824995450675	0	NaN
99029	3	0	248	266.589055044644	-18.5890550446444	-0.093163787020834	2.41094495535565	269	0	4	0	8	0	1.88904559984803	0.555753099732101	0	NaN
99029	3	0	288	266.235965135094	21.7640348649057	-0.353089909550096	2.76403486490574	269	0	5	1	8	0	2.10639629978687	0.390146599616855	0	NaN
99029	3	0	296	266.44826664518	29.5517333548204	0.212301510085352	2.55173335482039	269	0	6	1	8	0	2.06777640013024	0.651418800000101	0	NaN
99029	3	0	228	266.531770741083	-38.5317707410828	0.0835040959031976	-49.5317707410828	217	1	0	1	8	0	2.47486279997975	0.358485899865627	0	NaN
99029	3	0	236	266.672595758273	-30.6725957582734	0.140825017190589	-49.6725957582734	217	0	1	0	8	0	1.29868260025978	0.333400500006974	0	NaN
99029	3	0	231	266.926667488927	-35.9266674889267	0.254071730653281	-49.9266674889267	217	0	2	0	8	0	1.85973939998075	0.509934799745679	0	NaN
99029	3	0	209	300.203237754943	-91.2032377549426	33.2765702660159	-83.2032377549426	217	0	3	0	8	0	2.40391269978136	0.922174899838865	0	NaN
99029	3	0	351	235.195988247287	115.804011752713	-65.0072495076558	143.804011752713	19	1	0	0	8	0	2.27752650016919	0.025978300254792	0	NaN
99029	3	0	31	19.3741397686576	11.6258602313424	144.178151521371	-0.374139768657582	19	0	1	1	8	1	2.47284330008551	0.0565944998525083	0	NaN
99029	3	0	352	19.2126718171857	-27.2126718171857	-0.161467951471934	-0.21267181718565	19	0	2	0	8	1	2.41024750005454	0.40961749991402	0	NaN
99029	3	0	20	19.2076774152184	0.792322584781569	-0.00499440196722071	-0.207677415218428	19	0	3	1	8	1	2.31719740014523	0.735679500270635	0	NaN
99029	3	0	18	19.8137932454956	-1.81379324549562	0.606115830277189	-0.813793245495616	19	0	4	1	8	0	2.2543573002331	1.0715470998548	0	NaN
